,查询的域名,查询结果
0,sg.baidu.com. IN A,sg.baidu.com. 6184 IN CNAME unionsug.baidu.com.---unionsug.baidu.com. 7199 IN CNAME unionsug.a.shifen.com.---unionsug.a.shifen.com. 599 IN A 123.125.114.104
1,sj.baidu.com. IN A,sj.baidu.com. 6187 IN CNAME tuiguang.e.shifen.com.---tuiguang.e.shifen.com. 300 IN A 61.135.185.62
2,sk.baidu.com. IN A,sk.baidu.com. 6188 IN A 10.26.95.45
3,sl.baidu.com. IN A,sl.baidu.com. 598 IN CNAME brand-bfe.e.shifen.com.---brand-bfe.e.shifen.com. 293 IN A 112.80.255.125
4,sm.baidu.com. IN A,sm.baidu.com. 6187 IN CNAME baifubao-bfe.n.shifen.com.---baifubao-bfe.n.shifen.com. 299 IN A 103.235.47.86
5,sn.baidu.com. IN A,sn.baidu.com. 6188 IN CNAME rd-service-gobfe.e.shifen.com.---rd-service-gobfe.e.shifen.com. 300 IN A 111.202.114.68
6,sp.baidu.com. IN A,sp.baidu.com. 6190 IN A 10.143.188.18
7,sr.baidu.com. IN A,sr.baidu.com. 6191 IN CNAME bapp.n.shifen.com.---bapp.n.shifen.com. 293 IN A 180.149.131.33
8,su.baidu.com. IN A,su.baidu.com. 596 IN CNAME su.baidu.com.cname.yunjiasu-cdn.net.---su.baidu.com.cname.yunjiasu-cdn.net. 27 IN A 104.27.83.74---su.baidu.com.cname.yunjiasu-cdn.net. 27 IN A 104.27.82.74
9,sv.baidu.com. IN A,sv.baidu.com. 6190 IN CNAME nvideo.n.shifen.com.---nvideo.n.shifen.com. 174 IN CNAME nvideo.wshifen.com.---nvideo.wshifen.com. 174 IN A 104.193.88.125
10,sy.baidu.com. IN A,sy.baidu.com. 190 IN CNAME open.a.shifen.com.---open.a.shifen.com. 231 IN A 61.135.169.112---open.a.shifen.com. 231 IN A 61.135.185.41
