,查询的域名,查询结果
0,pg.baidu.com. IN A,pg.baidu.com. 6182 IN A 10.48.48.31
1,ph.baidu.com. IN A,ph.baidu.com. 2584 IN A 10.65.3.117
2,pi.baidu.com. IN A,pi.baidu.com. 6183 IN CNAME zhidao.baidu.com.---zhidao.baidu.com. 189 IN CNAME iknow.baidu.com.---iknow.baidu.com. 1062 IN CNAME iknow.n.shifen.com.---iknow.n.shifen.com. 184 IN A 180.149.131.245---iknow.n.shifen.com. 184 IN A 180.149.133.165
3,pm.baidu.com. IN A,pm.baidu.com. 6191 IN A 10.42.6.246---pm.baidu.com. 6191 IN A 10.36.7.163
4,po.baidu.com. IN A,po.baidu.com. 657 IN CNAME mbdown.n.shifen.com.---mbdown.n.shifen.com. 300 IN CNAME mbdown.wshifen.com.---mbdown.wshifen.com. 300 IN A 104.193.88.125
5,pt.baidu.com. IN A,pt.baidu.com. 6190 IN CNAME search-br.wshifen.com.---search-br.wshifen.com. 262 IN A 103.235.46.114
6,pv.baidu.com. IN A,pv.baidu.com. 6192 IN A 10.210.193.19
