,查询的域名,查询结果
0,nt.baidu.com. IN A,nt.baidu.com. 6184 IN A 10.99.83.43
1,ny.baidu.com. IN A,ny.baidu.com. 600 IN A 111.206.223.24
2,oc.baidu.com. IN A,oc.baidu.com. 6188 IN A 10.207.6.76
