,查询的域名,查询结果
0,vr.baidu.com. IN A,vr.baidu.com. 6186 IN CNAME vr.n.shifen.com.---vr.n.shifen.com. 300 IN A 112.80.248.165
1,vs.baidu.com. IN A,vs.baidu.com. 6189 IN CNAME open.a.shifen.com.---open.a.shifen.com. 232 IN A 61.135.185.41---open.a.shifen.com. 232 IN A 61.135.169.112
2,vx.baidu.com. IN A,vx.baidu.com. 6187 IN CNAME video.n.shifen.com.---video.n.shifen.com. 300 IN A 123.125.114.32
3,wa.baidu.com. IN A,wa.baidu.com. 2589 IN A 10.207.7.95
4,wb.baidu.com. IN A,wb.baidu.com. 8 IN A 198.105.244.11---wb.baidu.com. 8 IN A 104.239.213.7
