,查询的域名,查询结果
0,yi.baidu.com. IN A,yi.baidu.com. 6183 IN CNAME yisheng.e.shifen.com.---yisheng.e.shifen.com. 298 IN A 111.202.114.39
1,yk.baidu.com. IN A,yk.baidu.com. 6188 IN CNAME wenku.n.shifen.com.---wenku.n.shifen.com. 259 IN A 103.235.47.115---wenku.n.shifen.com. 259 IN A 103.235.47.122---wenku.n.shifen.com. 259 IN A 103.235.47.114
2,yl.baidu.com. IN A,yl.baidu.com. 598 IN CNAME yl.n.shifen.com.---yl.n.shifen.com. 298 IN A 202.106.2.50
3,yq.baidu.com. IN A,yq.baidu.com. 6188 IN CNAME yuqing.e.shifen.com.---yuqing.e.shifen.com. 298 IN A 123.125.115.209---yuqing.e.shifen.com. 298 IN A 123.125.115.174
4,yt.baidu.com. IN A,yt.baidu.com. 187 IN CNAME youxi.baidu.com.---youxi.baidu.com. 5787 IN CNAME game.n.shifen.com.---game.n.shifen.com. 295 IN A 123.125.115.219---game.n.shifen.com. 295 IN A 112.80.255.173
5,yx.baidu.com. IN A,yx.baidu.com. 6188 IN CNAME game.n.shifen.com.---game.n.shifen.com. 294 IN A 112.80.255.173---game.n.shifen.com. 294 IN A 123.125.115.219
6,zc.baidu.com. IN A,zc.baidu.com. 6175 IN CNAME 8.n.shifen.com.---8.n.shifen.com. 291 IN A 112.80.255.131---8.n.shifen.com. 291 IN A 61.135.186.244---8.n.shifen.com. 291 IN A 111.206.37.81
