,查询的域名,查询结果
0,jl.baidu.com. IN A,jl.baidu.com. 6190 IN CNAME jinlin.e.shifen.com.---jinlin.e.shifen.com. 300 IN A 10.26.96.44
1,jn.baidu.com. IN A,jn.baidu.com. 6190 IN CNAME brand-bfe.e.shifen.com.---brand-bfe.e.shifen.com. 295 IN A 112.80.255.125
2,jp.baidu.com. IN A,jp.baidu.com. 6191 IN A 119.63.198.132
3,jq.baidu.com. IN A,jq.baidu.com. 598 IN CNAME bfborpin.n.shifen.com.---bfborpin.n.shifen.com. 298 IN A 10.42.6.79---bfborpin.n.shifen.com. 298 IN A 10.91.165.11
4,jr.baidu.com. IN A,jr.baidu.com. 6189 IN CNAME jr.e.shifen.com.---jr.e.shifen.com. 300 IN A 123.125.115.167
5,js.baidu.com. IN A,js.baidu.com. 598 IN CNAME js.n.shifen.com.---js.n.shifen.com. 298 IN A 202.106.2.53
