,查询的域名,查询结果
0,qa.baidu.com. IN A,qa.baidu.com. 597 IN CNAME qaatmp.n.shifen.com.---qaatmp.n.shifen.com. 298 IN A 220.181.7.181
1,qb.baidu.com. IN A,qb.baidu.com. 6183 IN CNAME baifubao-bfe.n.shifen.com.---baifubao-bfe.n.shifen.com. 300 IN A 103.235.47.86
2,qc.baidu.com. IN A,qc.baidu.com. 6188 IN A 10.94.80.197
3,qh.baidu.com. IN A,qh.baidu.com. 6188 IN A 10.46.139.100
4,qk.baidu.com. IN A,qk.baidu.com. 6190 IN CNAME jpaas-matrix.baidu.com.---jpaas-matrix.baidu.com. 6190 IN A 10.57.8.26---jpaas-matrix.baidu.com. 6190 IN A 10.42.4.219
5,qm.baidu.com. IN A,qm.baidu.com. 6191 IN A 10.100.59.13
6,qr.baidu.com. IN A,qr.baidu.com. 6191 IN CNAME nj.api.int.n.shifen.com.---nj.api.int.n.shifen.com. 299 IN A 10.207.7.202
7,qs.baidu.com. IN A,qs.baidu.com. 6190 IN A 10.105.97.106
8,qt.baidu.com. IN A,qt.baidu.com. 6178 IN A 10.199.7.14
